strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Root_613,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_613,Root,613,WA,N,3,WA-N-3,MSJ,10,WA-7-16
Root_615,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_615,Root,615,WA,SW,6,WA-SW-6,Armillaria,10,WA-7-17
Root_616,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_616,Root,616,WA,SW,5,WA-SW-5,Armillaria,10,WA-7-13
Root_618,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_618,Root,618,IN,NE,6,IN-NE-6,Armillaria,10,IN-7-14
Root_620,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_620,Root,620,IN,SW,10,IN-SW-10,GYRBA,10,IN-7-4
Root_625,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_625,Root,625,IN,SW,1,IN-SW-1,1/2PDA++,10,IN-7-16
Root_631,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_631,Root,631,WA,SE,1,WA-SE-1,MSJ,10,WA-7-13-2
Root_634,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_634,Root,634,WA,N,9,WA-N-9,GYRBA,10,WA-7-20
Root_637,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_637,Root,637,IN,SW,9,IN-SW-9,MSJ,10,IN-7-13
Root_638,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_638,Root,638,WA,SE,10,WA-SE-10,MSJ,10,WA-7-13
Root_71,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_71,Root,71,WA,SE,18,WA-SE-18,GYRBA,10,WA-1-9
